,cityName,confirmedCount,suspectedCount,curedCount,deadCount,provinceName
0,武汉,2261,0,54,129,湖北省
1,黄冈,496,0,5,12,湖北省
2,孝感,399,0,0,6,湖北省
3,荆门,191,0,0,4,湖北省
4,襄阳,163,0,0,0,湖北省
5,荆州,151,0,1,3,湖北省
6,随州,143,0,0,0,湖北省
7,咸宁,130,0,0,0,湖北省
8,鄂州,123,0,0,2,湖北省
9,十堰,119,0,0,0,湖北省
10,宜昌,117,0,0,1,湖北省
11,黄石,113,0,0,1,湖北省
12,恩施州,66,0,0,0,湖北省
13,仙桃,55,0,0,0,湖北省
14,天门,44,0,0,3,湖北省
15,潜江,10,0,0,1,湖北省
16,神农架林区,5,0,0,0,湖北省
17,温州,172,0,3,0,浙江省
18,杭州,69,0,0,0,浙江省
19,台州,64,0,0,0,浙江省
20,宁波,41,0,0,0,浙江省
21,金华,20,0,0,0,浙江省
22,绍兴,19,0,0,0,浙江省
23,嘉兴,16,0,0,0,浙江省
24,衢州,10,0,0,0,浙江省
25,舟山,6,0,0,0,浙江省
26,丽水,6,0,1,0,浙江省
27,湖州,5,0,0,0,浙江省
28,深圳,98,0,4,0,广东省
29,广州,94,0,3,0,广东省
30,珠海,26,0,0,0,广东省
31,佛山,25,0,0,0,广东省
32,中山,18,0,0,0,广东省
33,惠州,17,0,1,0,广东省
34,汕头,12,0,0,0,广东省
35,湛江,11,0,0,0,广东省
36,东莞,11,0,0,0,广东省
37,阳江,10,0,0,0,广东省
38,清远,6,0,0,0,广东省
39,揭阳,6,0,0,0,广东省
40,肇庆,5,0,0,0,广东省
41,梅州,5,0,0,0,广东省
42,韶关,4,0,0,0,广东省
43,茂名,3,0,0,0,广东省
44,汕尾,1,0,0,0,广东省
45,河源,1,0,0,0,广东省
46,江门,1,0,0,0,广东省
47,南阳,51,0,0,2,河南省
48,郑州,46,0,0,0,河南省
49,信阳,42,0,0,0,河南省
50,周口,25,0,0,0,河南省
51,驻马店,25,0,0,0,河南省
52,商丘,18,0,0,0,河南省
53,安阳市,16,0,0,0,河南省
54,新乡,11,0,0,0,河南省
55,漯河市,11,0,0,0,河南省
56,平顶山,8,0,0,0,河南省
57,鹤壁,6,0,0,0,河南省
58,三门峡,5,0,0,0,河南省
59,开封,4,0,0,0,河南省
60,许昌,3,0,0,0,河南省
61,洛阳,2,0,0,0,河南省
62,焦作,2,0,0,0,河南省
63,濮阳,1,0,0,0,河南省
64,滑县,1,0,0,0,河南省
65,长垣县,1,0,0,0,河南省
66,长沙,57,0,1,0,湖南省
67,常德,30,0,0,0,湖南省
68,岳阳,29,0,0,0,湖南省
69,邵阳,29,0,0,0,湖南省
70,怀化,23,0,0,0,湖南省
71,衡阳,20,0,0,0,湖南省
72,株洲,18,0,0,0,湖南省
73,益阳,17,0,0,0,湖南省
74,娄底,16,0,0,0,湖南省
75,永州,14,0,0,0,湖南省
76,郴州,10,0,1,0,湖南省
77,湘潭,9,0,0,0,湖南省
78,湘西自治州,4,0,0,0,湖南省
79,张家界,1,0,0,0,湖南省
80,合肥,39,0,1,0,安徽省
81,阜阳,28,0,0,0,安徽省
82,亳州,20,0,1,0,安徽省
83,安庆,18,0,0,0,安徽省
84,马鞍山,14,0,0,0,安徽省
85,芜湖,14,0,0,0,安徽省
86,铜陵,10,0,0,0,安徽省
87,宿州,10,0,0,0,安徽省
88,六安,8,0,0,0,安徽省
89,蚌埠,8,0,0,0,安徽省
90,黄山,7,0,0,0,安徽省
