,cityName,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,10117,0,455,414,420100,湖北省
1,孝感,1886,0,30,25,420900,湖北省
2,黄冈,1807,0,62,29,421100,湖北省
3,随州,834,0,9,9,421300,湖北省
4,荆州,801,0,19,10,421000,湖北省
5,襄阳,787,0,25,2,420600,湖北省
6,黄石,566,0,25,2,420200,湖北省
7,宜昌,563,0,9,6,420500,湖北省
8,荆门,508,0,21,17,420800,湖北省
9,鄂州,423,0,8,18,420700,湖北省
10,咸宁,399,0,5,1,421200,湖北省
11,十堰,353,0,20,0,420300,湖北省
12,仙桃,265,0,11,5,429004,湖北省
13,恩施州,144,0,10,0,422800,湖北省
14,天门,138,0,1,10,429006,湖北省
15,潜江,64,0,0,1,429005,湖北省
16,神农架林区,10,0,2,0,429021,湖北省
17,深圳,316,0,22,0,440300,广东省
18,广州,270,0,20,0,440100,广东省
19,珠海,73,0,4,0,440400,广东省
20,佛山,57,0,4,0,440600,广东省
21,东莞,47,0,1,0,441900,广东省
22,中山,44,0,4,0,442000,广东省
23,惠州,35,0,1,0,441300,广东省
24,汕头,21,0,3,0,440500,广东省
25,湛江,19,0,4,0,440800,广东省
26,肇庆,14,0,1,0,441200,广东省
27,阳江,13,0,0,0,441700,广东省
28,梅州,12,0,0,0,441400,广东省
29,清远,10,0,2,0,441800,广东省
30,江门,9,0,1,0,440700,广东省
31,揭阳,7,0,0,0,445200,广东省
32,韶关,6,0,1,0,440200,广东省
33,茂名,6,0,0,0,440900,广东省
34,汕尾,5,0,1,0,441500,广东省
35,潮州,5,0,0,0,445100,广东省
36,河源,1,0,0,0,441600,广东省
37,温州,396,0,36,0,330300,浙江省
38,杭州,151,0,15,0,330100,浙江省
39,宁波,126,0,9,0,330200,浙江省
40,台州,124,0,14,0,331000,浙江省
41,金华,47,0,9,0,330700,浙江省
42,绍兴,33,0,3,0,330600,浙江省
43,嘉兴,30,0,1,0,330400,浙江省
44,丽水,16,0,1,0,331100,浙江省
45,衢州,15,0,2,0,330800,浙江省
46,湖州,9,0,1,0,330500,浙江省
47,舟山,7,0,3,0,330900,浙江省
48,信阳,164,0,9,0,411500,河南省
49,南阳,111,0,3,2,411300,河南省
50,郑州,102,0,13,0,410100,河南省
51,驻马店,98,0,2,0,411700,河南省
52,商丘,65,0,4,0,411400,河南省
53,周口,59,0,1,0,411600,河南省
54,平顶山,41,0,0,0,410400,河南省
55,新乡,41,0,2,0,410700,河南省
56,安阳,37,0,1,0,410500,河南省
57,漯河,26,0,1,0,411100,河南省
58,许昌,26,0,0,0,411000,河南省
59,洛阳,21,0,1,0,410300,河南省
60,开封,18,0,1,0,410200,河南省
61,焦作,17,0,1,0,410800,河南省
62,鹤壁,10,0,0,0,410600,河南省
63,三门峡,7,0,2,0,411200,河南省
64,濮阳,5,0,0,0,410900,河南省
65,济源,3,0,0,0,419001,河南省
66,待明确地区,0,0,15,0,0,河南省
67,长沙,179,0,8,0,430100,湖南省
68,岳阳,93,0,3,0,430600,湖南省
69,邵阳,74,0,8,0,430500,湖南省
70,常德,62,0,14,0,430700,湖南省
71,娄底,51,0,3,0,431300,湖南省
72,衡阳,43,0,5,0,430400,湖南省
73,株洲,41,0,7,0,430200,湖南省
74,益阳,41,0,6,0,430900,湖南省
75,怀化,36,0,7,0,431200,湖南省
76,永州,32,0,8,0,431100,湖南省
77,郴州,25,0,4,0,431000,湖南省
78,湘潭,24,0,5,0,430300,湖南省
79,湘西自治州,7,0,1,0,433100,湖南省
80,张家界,3,0,2,0,430800,湖南省
