,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,locationId,provinceName
0,武汉,20951,49671,0,26415,2305,420100,湖北省
1,孝感,576,3518,0,2821,121,420900,湖北省
2,鄂州,424,1394,0,918,52,420700,湖北省
3,黄冈,314,2907,0,2472,121,421100,湖北省
4,随州,290,1307,0,975,42,421300,湖北省
5,荆州,263,1580,0,1269,48,421000,湖北省
6,宜昌,258,931,0,640,33,420500,湖北省
7,荆门,203,928,0,686,39,420800,湖北省
8,襄阳,160,1175,0,980,35,420600,湖北省
9,黄石,152,1015,0,827,36,420200,湖北省
10,十堰,137,672,0,528,7,420300,湖北省
11,仙桃,74,575,0,481,20,429004,湖北省
12,咸宁,46,836,0,776,14,421200,湖北省
13,天门,46,496,0,435,15,429006,湖北省
14,恩施州,40,252,0,207,5,422800,湖北省
15,潜江,38,198,0,151,9,429005,湖北省
16,神农架林区,0,11,0,11,0,429021,湖北省
17,济宁,119,260,0,141,0,370800,山东省
18,德州,14,37,0,21,2,371400,山东省
19,潍坊,10,44,0,34,0,370700,山东省
20,济南,9,47,0,38,0,370100,山东省
21,烟台,8,47,0,39,0,370600,山东省
22,淄博,5,30,0,24,1,370300,山东省
23,威海,4,38,0,34,0,371000,山东省
24,青岛,1,60,0,58,1,370200,山东省
25,临沂,1,49,0,48,0,371300,山东省
26,枣庄,1,24,0,23,0,370400,山东省
27,日照,1,16,0,15,0,371100,山东省
28,滨州,1,15,0,14,0,371600,山东省
29,聊城,0,38,0,38,0,371500,山东省
30,泰安,0,35,0,33,2,370900,山东省
31,菏泽,0,18,0,18,0,371700,山东省
32,深圳,65,418,0,350,3,440300,广东省
33,广州,54,347,0,292,1,440100,广东省
34,珠海,14,98,0,83,1,440400,广东省
35,佛山,14,84,0,70,0,440600,广东省
36,东莞,10,99,0,88,1,441900,广东省
37,中山,4,66,0,62,0,442000,广东省
38,江门,3,23,0,20,0,440700,广东省
39,汕头,2,25,0,23,0,440500,广东省
40,梅州,1,16,0,15,0,441400,广东省
41,阳江,1,14,0,13,0,441700,广东省
42,韶关,1,10,0,9,0,440200,广东省
43,惠州,0,62,0,62,0,441300,广东省
44,湛江,0,22,0,22,0,440800,广东省
45,肇庆,0,19,0,18,1,441200,广东省
46,茂名,0,14,0,14,0,440900,广东省
47,清远,0,12,0,12,0,441800,广东省
48,揭阳,0,8,0,8,0,445200,广东省
49,汕尾,0,5,0,5,0,441500,广东省
50,潮州,0,5,0,5,0,445100,广东省
51,河源,0,4,0,4,0,441600,广东省
52,待明确地区,-6,0,0,6,0,0,广东省
53,朝阳区,72,72,0,0,0,110105,北京市
54,海淀区,63,63,0,0,0,110108,北京市
55,西城区,53,53,0,0,0,110102,北京市
56,丰台区,40,43,0,3,0,110106,北京市
57,大兴区,37,39,0,2,0,110115,北京市
